snippet_token_index	global_gen_index	token_id	token_piece	E114_W_L26	E114_W_L14
163	353	864	 which	0.182626942712	0.220505598878
164	354	279	 the	0.190874418761	0.169115165271
165	355	3050	 specific	0.225352670650	0.124379936432
166	356	10885	 tokens	0.168616078000	0.112296220117
167	357	628	 can	0.160310213032	0.192185627724
168	358	4833	 appear	0.127049988698	0.188425999177
169	359	321	 and	0.140358725912	0.204999317679
170	360	30035	 disappear	0.216091238044	0.133992237591
171	361	13	.	0.205091793670	0.152792343420
172	362	1049	 It	0.196626884605	0.214611005275
173	363	369	 is	0.177333547670	0.213978028030
174	364	279	 the	0.088535774218	0.127036706775
175	365	8008	 feeling	0.213171137142	0.156357473293
176	366	314	 of	0.163602172358	0.145540823950
177	367	2972	 **	0.158760766206	0.117048891585
178	368	41933	still	0.139333258284	0.095488542564
179	369	2022	ness	0.147515795843	0.136067495354
180	370	303	 in	0.181643533242	0.148158810123
181	371	11051	 motion	0.166473138067	0.214972339117
182	372	159034	**.	0.128473764574	0.160941764863
183	373	248044	<|endoftext|>	0.161179420400	0.237076957363
184	374	248045	<|im_start|>	0.172726267405	0.204861646818
185	375	248045	<|im_start|>	0.169471951324	0.222779617788
186	376	248045	<|im_start|>	0.084484089274	0.119668665031
187	377	74455	assistant	0.140697052266	0.170217927829
188	378	198		0.159116874372	0.201724646572
189	379	248068	<think>	0.110225562769	0.145763415438
