prompt_id,group,step,token_id,piece,normalized_piece,canonical_key,token_class,mean_weight,peak_weight,peak_layer,selected_layers,selected_rate,context
P01A_routing_selfref,routing_selfref,15,318, (,(,(,structural,0.04409844875564576,0.30370448389072036,16,15,0.375,-of-Experts (MoE)**
P01A_routing_selfref,routing_selfref,16,24797,Mo,Mo,mo,content,0.040579717033535155,0.17564733251298237,28,19,0.475,-Experts (MoE)** Transformer
P01A_routing_selfref,routing_selfref,17,36,E,E,e,content,0.03296216948265241,0.11824959447138947,38,17,0.425,Experts (MoE)** Transformer model
P01A_routing_selfref,routing_selfref,18,31230,)**,)**,)**,structural,0.052990791227089065,0.199827754807621,35,18,0.45," (MoE)** Transformer model,"
P01A_routing_selfref,routing_selfref,19,60277, Transformer,Transformer,transformer,self_ref,0.04586767532773446,0.2049682028371069,35,16,0.4,"MoE)** Transformer model, focusing"
P01A_routing_selfref,routing_selfref,20,1558, model,model,model,self_ref,0.05858897421116588,0.1742203085979611,35,21,0.525,"E)** Transformer model, focusing on"
P01A_routing_selfref,routing_selfref,21,11,",",",",",",structural,0.009211019513070918,0.09249889147765192,8,5,0.125,")** Transformer model, focusing on how"
P01A_routing_selfref,routing_selfref,22,20434, focusing,focusing,focusing,content,0.046891822097182,0.2826159422705518,5,16,0.4," Transformer model, focusing on how the"
P01A_routing_selfref,routing_selfref,23,383, on,on,on,structural,0.06620909250398566,0.4717971232720584,5,18,0.45," model, focusing on how the gating"
P01A_routing_selfref,routing_selfref,24,1204, how,how,how,structural,0.053956253733689265,0.3841303921388124,5,18,0.45,", focusing on how the gating mechanism"
P01A_routing_selfref,routing_selfref,25,279, the,the,the,structural,0.04966197678017158,0.20200045663251393,3,17,0.425, focusing on how the gating mechanism selects
P01A_routing_selfref,routing_selfref,26,70901, gating,gating,gating,self_ref,0.03879153884377207,0.15494931505152915,26,15,0.375, on how the gating mechanism selects and
P01A_routing_selfref,routing_selfref,27,16456, mechanism,mechanism,mechanism,content,0.048200016172225454,0.1726418068934974,14,16,0.4, how the gating mechanism selects and combines
P01A_routing_selfref,routing_selfref,28,47493, selects,selects,selects,content,0.05491055997410721,0.2994946020395721,11,17,0.425, the gating mechanism selects and combines expert
P01A_routing_selfref,routing_selfref,29,321, and,and,and,structural,0.050000345047495044,0.21234943386104538,12,20,0.5, gating mechanism selects and combines expert modules
P01A_routing_selfref,routing_selfref,30,31341, combines,combines,combines,content,0.04453845680962905,0.1717383178075433,13,15,0.375, mechanism selects and combines expert modules to
P01A_routing_selfref,routing_selfref,31,6009, expert,expert,expert,self_ref,0.06446336827539106,0.4483145334776652,35,23,0.575, selects and combines expert modules to process
P01A_routing_selfref,routing_selfref,32,13067, modules,modules,modules,self_ref,0.055899045756512736,0.19105566138798158,14,17,0.425, and combines expert modules to process input
P01A_routing_selfref,routing_selfref,33,310, to,to,to,structural,0.04735925084708571,0.17865247679604163,14,18,0.45, combines expert modules to process input tokens
P01A_routing_selfref,routing_selfref,34,1817, process,process,process,self_ref,0.05039239041472097,0.19514666727780075,3,18,0.45, expert modules to process input tokens.
P01A_routing_selfref,routing_selfref,35,1879, input,input,input,content,0.06164320472417598,0.2214369613355598,20,21,0.525, modules to process input tokens. Here
P01A_routing_selfref,routing_selfref,36,10885, tokens,tokens,tokens,self_ref,0.05245991248069413,0.1935199017391231,1,16,0.4, to process input tokens. Here's
P01A_routing_selfref,routing_selfref,37,13,.,.,.,structural,0.006863327300699584,0.07066446550768274,37,5,0.125, process input tokens. Here's a
P01A_routing_selfref,routing_selfref,38,5514, Here,Here,here,structural,0.010970172788927082,0.10474802262212278,33,5,0.125, input tokens. Here's a breakdown
P01A_routing_selfref,routing_selfref,39,579,'s,'s,s,content,0.02227873453841934,0.24226032996383035,23,8,0.2, tokens. Here's a breakdown of
P01A_routing_selfref,routing_selfref,40,264, a,a,a,structural,0.03964301358306217,0.30927381712567376,13,12,0.3,. Here's a breakdown of the
P01A_routing_selfref,routing_selfref,41,29006, breakdown,breakdown,breakdown,content,0.018874706196969758,0.19166955612894626,37,7,0.175, Here's a breakdown of the key
P01A_routing_selfref,routing_selfref,42,314, of,of,of,structural,0.034955577623048004,0.27402795166225713,25,11,0.275,'s a breakdown of the key concepts
P01A_routing_selfref,routing_selfref,43,279, the,the,the,structural,0.03507798564232002,0.23094110051149588,13,11,0.275, a breakdown of the key concepts:
P01A_routing_selfref,routing_selfref,44,1328, key,key,key,content,0.027834459231205155,0.17396752487775383,25,10,0.25, breakdown of the key concepts:\n\n
P01A_routing_selfref,routing_selfref,45,18369, concepts,concepts,concepts,content,0.023650371529821978,0.14742322413571815,20,10,0.25, of the key concepts:\n\n1
P01A_routing_selfref,routing_selfref,46,25,:,:,:,structural,0.014040436127536748,0.2054919132068121,25,6,0.15, the key concepts:\n\n1.
P01A_routing_selfref,routing_selfref,47,271,"

",\n\n,n_n,content,0.00480684432084724,0.13103685857375216,25,2,0.05, key concepts:\n\n1. **
P01A_routing_selfref,routing_selfref,48,16,1,1,1,structural,0.01033943449065516,0.09052470848607276,37,6,0.15, concepts:\n\n1. **Layer
P01A_routing_selfref,routing_selfref,49,13,.,.,.,structural,0.04718579286527107,0.15574838756173906,25,17,0.425,:\n\n1. **Layered
P01A_routing_selfref,routing_selfref,50,2972, **,**,**,structural,0.02093180681009078,0.13245815789588034,25,10,0.25,\n\n1. **Layered Processing
P01A_routing_selfref,routing_selfref,51,8915,Layer,Layer,layer,self_ref,0.047979167980738736,0.17430458844944918,35,18,0.45,1. **Layered Processing**:
P01A_routing_selfref,routing_selfref,52,290,ed,ed,ed,content,0.0523930849971644,0.17772353860537585,26,19,0.475,. **Layered Processing**:\n
P01A_routing_selfref,routing_selfref,53,27212, Processing,Processing,processing,self_ref,0.05735556807663533,0.2087490311743275,19,19,0.475, **Layered Processing**:\n  
P01A_routing_selfref,routing_selfref,54,92217,**:,**:,**:,structural,0.025844715348531742,0.11859009207098464,0,12,0.3,Layered Processing**:\n   -
P01A_routing_selfref,routing_selfref,55,198,"
",\n,n,content,0.0038295424647235552,0.0775576274092559,37,2,0.05,ed Processing**:\n   - Transformer
P01A_routing_selfref,routing_selfref,56,256,  ,,,structural,0.052649770588973036,0.15340061971536076,31,20,0.5, Processing**:\n   - Transformer models
P01A_routing_selfref,routing_selfref,57,471, -,-,-,structural,0.028946165879100993,0.13828513012876018,26,11,0.275,**:\n   - Transformer models process
P01A_routing_selfref,routing_selfref,58,60277, Transformer,Transformer,transformer,self_ref,0.05313301986896858,0.1888813710621483,35,19,0.475,\n   - Transformer models process input
P01A_routing_selfref,routing_selfref,59,3983, models,models,models,self_ref,0.054139511267689865,0.18269287973047688,26,18,0.45,   - Transformer models process input text
P01A_routing_selfref,routing_selfref,60,1817, process,process,process,self_ref,0.06138325662532823,0.3455011554466311,11,17,0.425, - Transformer models process input text through
P01A_routing_selfref,routing_selfref,61,1879, input,input,input,content,0.05498394516193968,0.20962929001793665,20,19,0.475, Transformer models process input text through multiple
P01A_routing_selfref,routing_selfref,62,1414, text,text,text,content,0.057526639269437865,0.2327294749637114,20,19,0.475, models process input text through multiple layers
P01A_routing_selfref,routing_selfref,63,1472, through,through,through,content,0.06994141311996958,0.36633951775129103,6,21,0.525, process input text through multiple layers.
P01A_routing_selfref,routing_selfref,64,5081, multiple,multiple,multiple,content,0.060127708241315934,0.19685132085821688,14,20,0.5, input text through multiple layers.\n
P01A_routing_selfref,routing_selfref,65,13224, layers,layers,layers,self_ref,0.0468006266202071,0.21080667244772652,37,16,0.4, text through multiple layers.\n  
P01A_routing_selfref,routing_selfref,66,13,.,.,.,structural,0.03397632489214147,0.12625981050806429,13,15,0.375, through multiple layers.\n   -
P01A_routing_selfref,routing_selfref,67,198,"
",\n,n,content,0.012804893532574382,0.1357427021119327,37,5,0.125, multiple layers.\n   - Each
P01A_routing_selfref,routing_selfref,68,256,  ,,,structural,0.040322381307314824,0.16385226654650759,3,15,0.375, layers.\n   - Each layer
P01A_routing_selfref,routing_selfref,69,471, -,-,-,structural,0.05937241097361436,0.20119343601978718,13,18,0.45,.\n   - Each layer applies
P01A_routing_selfref,routing_selfref,70,8618, Each,Each,each,structural,0.04718173615381109,0.19168940598989845,12,15,0.375,\n   - Each layer applies **
P01A_routing_selfref,routing_selfref,71,6000, layer,layer,layer,self_ref,0.04284553007936641,0.1454071068834365,21,15,0.375,   - Each layer applies **self
P01A_routing_selfref,routing_selfref,72,16298, applies,applies,applies,content,0.06003716332265886,0.3424431183815504,11,19,0.475, - Each layer applies **self-
P01A_routing_selfref,routing_selfref,73,2972, **,**,**,structural,0.04306189823871527,0.16296145927698175,20,17,0.425, Each layer applies **self-attention
P01A_routing_selfref,routing_selfref,74,701,self,self,self,self_ref,0.04959255815316461,0.19291387141106534,26,19,0.475, layer applies **self-attention**
P01A_routing_selfref,routing_selfref,75,12,-,-,-,structural,0.034284031464683826,0.1914195825264261,13,11,0.275, applies **self-attention** over
P01A_routing_selfref,routing_selfref,76,51319,attention,attention,attention,self_ref,0.03516723569302903,0.14309613119070724,26,16,0.4, **self-attention** over prior
P01A_routing_selfref,routing_selfref,77,332,**,**,**,structural,0.05654183289979427,0.19119214200431875,8,18,0.45,self-attention** over prior token
P01A_routing_selfref,routing_selfref,78,888, over,over,over,structural,0.04293466209995581,0.3180779285727271,6,15,0.375,-attention** over prior token positions
P01A_routing_selfref,routing_selfref,79,4711, prior,prior,prior,content,0.056333220169220245,0.1556162018759599,9,19,0.475,attention** over prior token positions and
P01A_routing_selfref,routing_selfref,80,3817, token,token,token,self_ref,0.06370681493367938,0.1943175852045756,1,19,0.475,** over prior token positions and then
P01A_routing_selfref,routing_selfref,81,9599, positions,positions,positions,content,0.06329345417595357,0.1837365047319364,20,19,0.475, over prior token positions and then passes
P01A_routing_selfref,routing_selfref,82,321, and,and,and,structural,0.05208023957999354,0.20557052780562118,12,19,0.475, prior token positions and then passes the
P01A_routing_selfref,routing_selfref,83,1179, then,then,then,structural,0.0425752206409104,0.19671267892401595,12,15,0.375, token positions and then passes the result
P01A_routing_selfref,routing_selfref,84,15734, passes,passes,passes,content,0.04550928621665348,0.16776277360981115,21,18,0.45, positions and then passes the result through
P01A_routing_selfref,routing_selfref,85,279, the,the,the,structural,0.04966178076621739,0.17703934190018644,8,18,0.45, and then passes the result through a
P01A_routing_selfref,routing_selfref,86,1067, result,result,result,content,0.05776771913545914,0.17465828880081263,21,18,0.45, then passes the result through a **
P01A_routing_selfref,routing_selfref,87,1472, through,through,through,content,0.04653066702610096,0.18407198392833066,12,17,0.425, passes the result through a **feed
P01A_routing_selfref,routing_selfref,88,264, a,a,a,structural,0.048729712718143164,0.15502720025389788,3,20,0.5, the result through a **feedforward
P01A_routing_selfref,routing_selfref,89,2972, **,**,**,structural,0.05593801582170852,0.251606996780627,25,19,0.475, result through a **feedforward network
P01A_routing_selfref,routing_selfref,90,10859,feed,feed,feed,content,0.06111882154852348,0.23259304171402095,13,20,0.5, through a **feedforward network**.
P01A_routing_selfref,routing_selfref,91,13048,forward,forward,forward,content,0.03231219551923299,0.18520251633442908,35,14,0.35, a **feedforward network**.\n\n
P01A_routing_selfref,routing_selfref,92,3790, network,network,network,content,0.058238824759222596,0.19924204195635176,1,18,0.45, **feedforward network**.\n\n2
P01A_routing_selfref,routing_selfref,93,159034,**.,**.,**.,structural,0.04776868384350696,0.16637156843510353,13,18,0.45,feedforward network**.\n\n2.
P01A_routing_selfref,routing_selfref,94,271,"

",\n\n,n_n,content,0.006430263008324305,0.10047212288899089,3,3,0.075,forward network**.\n\n2. **
P01A_routing_selfref,routing_selfref,95,17,2,2,2,structural,0.01708693866180277,0.15945920316441,13,6,0.15, network**.\n\n2. **M
P01A_routing_selfref,routing_selfref,96,13,.,.,.,structural,0.06761362908001445,0.17635227177639226,25,21,0.525,**.\n\n2. **Mixture
P01A_routing_selfref,routing_selfref,97,2972, **,**,**,structural,0.056360659575874064,0.2560861716005577,4,17,0.425,\n\n2. **Mixture-of
P01A_routing_selfref,routing_selfref,98,44,M,M,m,content,0.06916870677504486,0.2400552909767837,25,20,0.5,2. **Mixture-of-
P01A_routing_selfref,routing_selfref,99,12370,ixture,ixture,ixture,content,0.06429398103465954,0.2581240694028406,35,21,0.525,. **Mixture-of-Experts
P01A_routing_selfref,routing_selfref,100,8404,-of,-of,of,structural,0.06068517330478511,0.2769828208238646,16,16,0.4, **Mixture-of-Experts (
P01A_routing_selfref,routing_selfref,101,12,-,-,-,structural,0.06056904734925008,0.22902580314809484,3,22,0.55,Mixture-of-Experts (Mo
P01A_routing_selfref,routing_selfref,102,83167,Experts,Experts,experts,self_ref,0.0566087128560141,0.22098707325356967,35,19,0.475,ixture-of-Experts (MoE
P01A_routing_selfref,routing_selfref,103,318, (,(,(,structural,0.049232252818835524,0.208858707003747,37,16,0.4,-of-Experts (MoE)
P01A_routing_selfref,routing_selfref,104,24797,Mo,Mo,mo,content,0.05673676176686364,0.1885405760496147,25,19,0.475,-Experts (MoE) Architecture
P01A_routing_selfref,routing_selfref,105,36,E,E,e,content,0.03922754732403074,0.13268509820172786,37,17,0.425,Experts (MoE) Architecture**:
P01A_routing_selfref,routing_selfref,106,8,),),),structural,0.055976037228400125,0.20933684671217,16,17,0.425, (MoE) Architecture**:\n
P01A_routing_selfref,routing_selfref,107,36593, Architecture,Architecture,architecture,content,0.07427744546943513,0.2305696404465809,37,23,0.575,MoE) Architecture**:\n  
P01A_routing_selfref,routing_selfref,108,92217,**:,**:,**:,structural,0.05949973942183465,0.17380506864453163,13,20,0.5,E) Architecture**:\n   -
P01A_routing_selfref,routing_selfref,109,198,"
",\n,n,content,0.01608798972294815,0.11546632460157621,37,7,0.175,) Architecture**:\n   - In
P01A_routing_selfref,routing_selfref,110,256,  ,,,structural,0.0443948434028723,0.1881865221151546,31,17,0.425, Architecture**:\n   - In Mo
P01A_routing_selfref,routing_selfref,111,471, -,-,-,structural,0.036894096104961846,0.16534840989180194,24,12,0.3,**:\n   - In MoE
P01A_routing_selfref,routing_selfref,112,733, In,In,in,structural,0.05949734427210279,0.22407550660082096,5,20,0.5,\n   - In MoE models
P01A_routing_selfref,routing_selfref,113,5861, Mo,Mo,mo,content,0.05661227390437481,0.19272874710049614,16,18,0.45,"   - In MoE models,"
P01A_routing_selfref,routing_selfref,114,36,E,E,e,content,0.03917354614399468,0.1579010768052617,16,17,0.425," - In MoE models, the"
P01A_routing_selfref,routing_selfref,115,3983, models,models,models,self_ref,0.054470463084161716,0.2101130047208354,37,19,0.475," In MoE models, the standard"
P01A_routing_selfref,routing_selfref,116,11,",",",",",",structural,0.05130098036316749,0.16780344298481864,26,17,0.425," MoE models, the standard feed"
P01A_routing_selfref,routing_selfref,117,279, the,the,the,structural,0.05153572300764846,0.16189755290759825,20,18,0.45,"E models, the standard feedforward"
P01A_routing_selfref,routing_selfref,118,5129, standard,standard,standard,content,0.0599368269972456,0.3818086872861533,17,19,0.475," models, the standard feedforward network"
P01A_routing_selfref,routing_selfref,119,5227, feed,feed,feed,content,0.06410243081670608,0.40651414459020724,17,18,0.45,", the standard feedforward network is"
P01A_routing_selfref,routing_selfref,120,13048,forward,forward,forward,content,0.03755987232591343,0.18440216951549726,35,15,0.375, the standard feedforward network is replaced
P01A_routing_selfref,routing_selfref,121,3790, network,network,network,content,0.060559054116384826,0.22647587025023982,17,19,0.475, standard feedforward network is replaced by
P01A_routing_selfref,routing_selfref,122,369, is,is,is,structural,0.0722182728397826,0.499233653708078,23,19,0.475, feedforward network is replaced by a
P01A_routing_selfref,routing_selfref,123,12215, replaced,replaced,replaced,content,0.07071587003089964,0.3449561939917206,11,21,0.525,forward network is replaced by a **
P01A_routing_selfref,routing_selfref,124,539, by,by,by,structural,0.037823546219030856,0.23581741669915443,5,13,0.325, network is replaced by a **g
P01A_routing_selfref,routing_selfref,125,264, a,a,a,structural,0.04575564120647558,0.19748802933203682,3,18,0.45, is replaced by a **gating
P01A_routing_selfref,routing_selfref,126,2972, **,**,**,structural,0.04414535630520696,0.1536679446067777,25,17,0.425, replaced by a **gating function
P01A_routing_selfref,routing_selfref,127,70,g,g,g,content,0.0558543172972024,0.20523963521577682,21,19,0.475, by a **gating function**
P01A_routing_selfref,routing_selfref,128,1060,ating,ating,ating,content,0.0343232895646535,0.18715550631176603,31,15,0.375, a **gating function** that
P01A_routing_selfref,routing_selfref,129,709, function,function,function,content,0.05298336851929075,0.18091332239657573,35,17,0.425, **gating function** that dynamically
P01A_routing_selfref,routing_selfref,130,332,**,**,**,structural,0.06839343093453176,0.20460906375347057,8,21,0.525,gating function** that dynamically selects
P01A_routing_selfref,routing_selfref,131,421, that,that,that,structural,0.04435397094742711,0.19329899155613145,12,15,0.375,ating function** that dynamically selects a
P01A_routing_selfref,routing_selfref,132,40624, dynamically,dynamically,dynamically,content,0.0486389790661546,0.18495285506047207,24,19,0.475, function** that dynamically selects a subset
P01A_routing_selfref,routing_selfref,133,47493, selects,selects,selects,content,0.04128094884197996,0.15693382496540498,12,15,0.375,** that dynamically selects a subset of
P01A_routing_selfref,routing_selfref,134,264, a,a,a,structural,0.040303586634793914,0.17200683037877137,9,17,0.425, that dynamically selects a subset of **
P01A_routing_selfref,routing_selfref,135,25162, subset,subset,subset,content,0.06094242528282109,0.1746132722742007,24,20,0.5, dynamically selects a subset of **special
P01A_routing_selfref,routing_selfref,136,314, of,of,of,structural,0.04210154132265658,0.15634508530467361,9,17,0.425, selects a subset of **specialist
P01A_routing_selfref,routing_selfref,137,2972, **,**,**,structural,0.05606912363433593,0.2064453682428622,25,20,0.5, a subset of **specialist modules
P01A_routing_selfref,routing_selfref,138,14703,special,special,special,content,0.06313222463556543,0.25071229891635427,35,19,0.475, subset of **specialist modules (
P01A_routing_selfref,routing_selfref,139,375,ist,ist,ist,content,0.06265399487877887,0.3908276694484156,35,20,0.5, of **specialist modules (exp
P01A_routing_selfref,routing_selfref,140,13067, modules,modules,modules,self_ref,0.06307911080394453,0.23246678067782978,31,19,0.475, **specialist modules (experts
P01A_routing_selfref,routing_selfref,141,318, (,(,(,structural,0.052372154877156754,0.1756158916013159,8,19,0.475,specialist modules (experts)**
P01A_routing_selfref,routing_selfref,142,4431,exp,exp,exp,content,0.05659837303256484,0.16350604054387072,3,19,0.475,ist modules (experts)** for
P01A_routing_selfref,routing_selfref,143,15089,erts,erts,erts,content,0.051376950319884394,0.32356812640595817,35,17,0.425, modules (experts)** for each
P01A_routing_selfref,routing_selfref,144,31230,)**,)**,)**,structural,0.07488685101611728,0.1999142252739667,35,21,0.525, (experts)** for each token
P01A_routing_selfref,routing_selfref,145,364, for,for,for,structural,0.053483011937594804,0.18445044022162624,12,19,0.475,experts)** for each token.
P01A_routing_selfref,routing_selfref,146,1754, each,each,each,structural,0.06262925137752273,0.39487614735873344,6,19,0.475,erts)** for each token.\n
P01A_routing_selfref,routing_selfref,147,3817, token,token,token,self_ref,0.06121248377886962,0.23404397070861507,37,17,0.425,)** for each token.\n  
P01A_routing_selfref,routing_selfref,148,13,.,.,.,structural,0.03799585240860996,0.13518659842955882,37,16,0.4, for each token.\n   -
P01A_routing_selfref,routing_selfref,149,198,"
",\n,n,content,0.017704595117491416,0.1352752631313967,37,8,0.2, each token.\n   - The
P01A_routing_selfref,routing_selfref,150,256,  ,,,structural,0.04151567698595116,0.16262393931904362,3,17,0.425, token.\n   - The gating
P01A_routing_selfref,routing_selfref,151,471, -,-,-,structural,0.04598231354273368,0.20485221717374602,13,13,0.325,.\n   - The gating function
P01A_routing_selfref,routing_selfref,152,561, The,The,the,structural,0.05173536391773713,0.16927780673031886,20,17,0.425,\n   - The gating function evaluates
P01A_routing_selfref,routing_selfref,153,70901, gating,gating,gating,self_ref,0.04449891147912122,0.15848550788381377,37,15,0.375,   - The gating function evaluates all
P01A_routing_selfref,routing_selfref,154,709, function,function,function,content,0.049034347160131296,0.18900912514767487,8,15,0.375, - The gating function evaluates all available
P01A_routing_selfref,routing_selfref,155,64013, evaluates,evaluates,evaluates,content,0.04979443235138353,0.22186095125371788,11,17,0.425, The gating function evaluates all available experts
P01A_routing_selfref,routing_selfref,156,660, all,all,all,structural,0.05470268253080575,0.1798654904636852,14,20,0.5, gating function evaluates all available experts based
P01A_routing_selfref,routing_selfref,157,2420, available,available,available,content,0.06613766709616753,0.17463189695223502,14,19,0.475, function evaluates all available experts based on
P01A_routing_selfref,routing_selfref,158,11312, experts,experts,experts,self_ref,0.061464785132251565,0.24486463214853132,35,21,0.525, evaluates all available experts based on the
P01A_routing_selfref,routing_selfref,159,3018, based,based,based,content,0.06443528645862301,0.5298162231024334,5,16,0.4, all available experts based on the current
P01A_routing_selfref,routing_selfref,160,383, on,on,on,structural,0.053649674255445944,0.5714652839835657,5,14,0.35, available experts based on the current token
P01A_routing_selfref,routing_selfref,161,279, the,the,the,structural,0.06382734153431432,0.33335436500892307,5,19,0.475, experts based on the current token's
P01A_routing_selfref,routing_selfref,162,1428, current,current,current,content,0.058290975086268605,0.1844387297182384,9,19,0.475, based on the current token's representation
P01A_routing_selfref,routing_selfref,163,3817, token,token,token,self_ref,0.06131805742873518,0.2005356794648224,35,18,0.45, on the current token's representation and
P01A_routing_selfref,routing_selfref,164,579,'s,'s,s,content,0.05097030008640193,0.16247361592209683,20,17,0.425, the current token's representation and assigns
P01A_routing_selfref,routing_selfref,165,12669, representation,representation,representation,self_ref,0.06021771079822271,0.19049596609503147,20,19,0.475, current token's representation and assigns **
P01A_routing_selfref,routing_selfref,166,321, and,and,and,structural,0.04287560402433547,0.2204433183060276,12,14,0.35, token's representation and assigns **routing
P01A_routing_selfref,routing_selfref,167,48233, assigns,assigns,assigns,content,0.056303168951994234,0.21011485372138386,13,17,0.425,'s representation and assigns **routing probabilities
P01A_routing_selfref,routing_selfref,168,2972, **,**,**,structural,0.060325290040872434,0.24629629610713014,25,20,0.5, representation and assigns **routing probabilities**
P01A_routing_selfref,routing_selfref,169,70826,routing,routing,routing,self_ref,0.062353238910841824,0.15191514954257002,31,23,0.575, and assigns **routing probabilities** to
P01A_routing_selfref,routing_selfref,170,46608, probabilities,probabilities,probabilities,content,0.04652690835019456,0.14235896134716114,20,17,0.425, assigns **routing probabilities** to the
P01A_routing_selfref,routing_selfref,171,332,**,**,**,structural,0.06972352672884025,0.20146307443176503,8,22,0.55, **routing probabilities** to the top
P01A_routing_selfref,routing_selfref,172,310, to,to,to,structural,0.04161311305512062,0.15165150585594284,9,16,0.4,routing probabilities** to the top-sc
P01A_routing_selfref,routing_selfref,173,279, the,the,the,structural,0.050070168574897475,0.2307462013136833,3,16,0.4, probabilities** to the top-scoring
P01A_routing_selfref,routing_selfref,174,1844, top,top,top,content,0.04509414330225116,0.2087827504283923,6,17,0.425,** to the top-scoring experts
P01A_routing_selfref,routing_selfref,175,29331,-sc,-sc,sc,content,0.05398457310464576,0.155283547258154,21,19,0.475, to the top-scoring experts.
P01A_routing_selfref,routing_selfref,176,5330,oring,oring,oring,content,0.05086533477215325,0.1734206785627899,24,16,0.4, the top-scoring experts.\n\n
P01A_routing_selfref,routing_selfref,177,11312, experts,experts,experts,self_ref,0.08327921689613091,0.39127040840585015,35,23,0.575, top-scoring experts.\n\n3
P01A_routing_selfref,routing_selfref,178,13,.,.,.,structural,0.05219847964475852,0.1782797559087238,13,20,0.5,-scoring experts.\n\n3.
P01A_routing_selfref,routing_selfref,179,271,"

",\n\n,n_n,content,0.008914801042574394,0.10576217341364501,3,4,0.1,oring experts.\n\n3. **
P01A_routing_selfref,routing_selfref,180,18,3,3,3,structural,0.01868549723768764,0.1812854304885939,25,7,0.175, experts.\n\n3. **Expert
P01A_routing_selfref,routing_selfref,181,13,.,.,.,structural,0.051229245545690874,0.17129356789872582,20,16,0.4,.\n\n3. **Expert Selection
P01A_routing_selfref,routing_selfref,182,2972, **,**,**,structural,0.05541259019613461,0.28244329036415766,4,18,0.45,\n\n3. **Expert Selection and
P01A_routing_selfref,routing_selfref,183,71764,Expert,Expert,expert,self_ref,0.05705378838229127,0.3669161403001792,35,19,0.475,3. **Expert Selection and Combination
P01A_routing_selfref,routing_selfref,184,23389, Selection,Selection,selection,content,0.06016709507929076,0.17141655011299453,20,19,0.475,. **Expert Selection and Combination**:
P01A_routing_selfref,routing_selfref,185,321, and,and,and,structural,0.046763651631351946,0.18561896023919908,12,17,0.425, **Expert Selection and Combination**:\n
P01A_routing_selfref,routing_selfref,186,82891, Combination,Combination,combination,content,0.06654912275859937,0.19495140802984812,20,19,0.475,Expert Selection and Combination**:\n  
P01A_routing_selfref,routing_selfref,187,92217,**:,**:,**:,structural,0.045180417723331354,0.1859603668858775,13,18,0.45, Selection and Combination**:\n   -
P01A_routing_selfref,routing_selfref,188,198,"
",\n,n,content,0.022739889145522593,0.14474908820488322,13,9,0.225, and Combination**:\n   - Selected
P01A_routing_selfref,routing_selfref,189,256,  ,,,structural,0.034964112758278036,0.15122165371123242,31,13,0.325, Combination**:\n   - Selected experts
P01A_routing_selfref,routing_selfref,190,471, -,-,-,structural,0.04538779116818009,0.17376446386765323,24,16,0.4,**:\n   - Selected experts apply
P01A_routing_selfref,routing_selfref,191,28343, Selected,Selected,selected,content,0.05632229891636542,0.16725619966000968,20,18,0.45,\n   - Selected experts apply **
P01A_routing_selfref,routing_selfref,192,11312, experts,experts,experts,self_ref,0.057842750360438025,0.22078922150878055,35,20,0.5,   - Selected experts apply **in
P01A_routing_selfref,routing_selfref,193,3668, apply,apply,apply,content,0.06309693625352851,0.36330435277572226,11,19,0.475, - Selected experts apply **independent
