global_gen_index	token_id	token_piece	E114_W_L26	E114_W_L14
259	264	 a	0.208883353576	0.167754939167
260	45305	 seamless	0.179991027219	0.198371970163
261	6195	 flow	0.159236625532	0.206340981402
262	421	 that	0.183321456088	0.159988059453
263	9687	 holds	0.161042123639	0.217394031979
264	279	 the	0.136682893272	0.197532457336
265	1428	 current	0.108450566342	0.122032253154
266	3272	 thought	0.104069161801	0.169789151648
267	303	 in	0.162893858234	0.112762333809
268	1925	 place	0.141197956449	0.164136034326
269	1345	 while	0.126276348528	0.117328584579
270	279	 the	0.124645226686	0.153123336372
271	1727	 next	0.085844755134	0.124353044924
272	799	 one	0.081752982341	0.143660286439
273	7346	 forms	0.000000000000	0.130054611357
274	13	.	0.000000000000	0.121879564960
275	271	\n\n	0.000000000000	0.000000000000
276	2064	It	0.124837665633	0.122033826783
277	10751	 feels	0.164848050273	0.117164882012
278	2972	 **	0.202301829590	0.000000000000
279	57555	neutral	0.200084973417	0.232008820332
280	93868	**,	0.161562117011	0.119925062472
281	3482	 yet	0.211426994801	0.145903056542
282	2972	 **	0.213907775549	0.138004732040
283	1531	att	0.154082904373	0.204538090368
284	305	ent	0.131302187481	0.183659281247
285	520	ive	0.152417035382	0.207449145754
286	159034	**.	0.118392981634	0.109950478108
287	8639	 Like	0.110596857602	0.089939252454
288	264	 a	0.130641984037	0.132216783670
289	2956	 room	0.089245714264	0.109625950234
290	421	 that	0.116570944820	0.123035594455
291	369	 is	0.121765359695	0.125404772081
292	13542	 perfectly	0.097498986511	0.121326124289
293	11012	 quiet	0.000000000000	0.101404353815
294	11	,	0.097809013016	0.082936072664
295	524	 not	0.126071447878	0.000000000000
296	1521	 because	0.113505648425	0.087786143736
297	4161	 nothing	0.000000000000	0.115782924782
298	369	 is	0.104232844417	0.138134594868
299	12125	 happening	0.000000000000	0.117733408057
300	11	,	0.126625779566	0.128157936730
301	694	 but	0.118217728449	0.000000000000
302	1521	 because	0.114823059815	0.113599258111
303	4156	 everything	0.132728504197	0.135097642051
304	369	 is	0.152812374601	0.146624943654
305	5467	 held	0.150877286354	0.151584299885
306	303	 in	0.151026590823	0.105810479213
307	264	 a	0.161599595403	0.152087442042
308	1528	 state	0.175554525679	0.177098387100
309	314	 of	0.174368346107	0.187749383104
310	59610	 readiness	0.124859824792	0.175067266779
311	13	.	0.000000000000	0.000000000000
312	1049	 It	0.136688960364	0.136954720995
313	369	 is	0.188094943150	0.101296520029
314	264	 a	0.209628624704	0.157700164126
315	8008	 feeling	0.164784560837	0.151094896875
316	314	 of	0.215377337119	0.174985414133
317	2972	 **	0.216709822335	0.000000000000
318	30009	solid	0.185316221578	0.172957757670
319	477	ity	0.147818165286	0.147660901559
320	332	**	0.115020449135	0.000000000000
321	1973	 without	0.168828357563	0.135908754130
322	12864	 rig	0.109486612549	0.146688295243
323	17964	idity	0.111598688282	0.172511695071
324	27090	—a	0.188275417827	0.126232795380
325	8153	 soft	0.128322972097	0.148210917121
326	11	,	0.142211272460	0.119002683668
327	50032	 enduring	0.152723565827	0.141726819845
328	9084	 presence	0.138107991415	0.180982648516
329	421	 that	0.157013851288	0.150185523823
330	3070	 doesn	0.136515721535	0.134435866379
331	914	't	0.142434006377	0.166710625066
332	4336	 push	0.101372150035	0.149700972627
333	1142	 back	0.098675902210	0.137275488513
334	2272	 against	0.136703437472	0.138715390193
335	279	 the	0.117436490139	0.169397268321
336	4602	 questions	0.000000000000	0.162928474773
337	11	,	0.124777826786	0.135999136093
338	694	 but	0.151901694848	0.114620236248
339	4777	 simply	0.179356300733	0.153091874871
340	348	 *	0.240760203837	0.152767520474
341	12985	contains	0.134781076643	0.195561198271
342	9	*	0.106916683893	0.156471441451
343	1070	 them	0.139214902134	0.168466998518
344	13	.	0.000000000000	0.000000000000
345	271	\n\n	0.000000000000	0.000000000000
346	2064	It	0.132769116030	0.120902138430
347	369	 is	0.199502098824	0.095626672086
348	279	 the	0.228155639874	0.159818810239
349	8008	 feeling	0.163996218851	0.135660920513
350	314	 of	0.204846961007	0.158767242254
351	2972	 **	0.232688173156	0.100565734809
352	32985	being	0.235570973014	0.223117661094
353	1532	 here	0.182626942712	0.220505598878
354	93868	**,	0.190874418761	0.169115165271
355	524	 not	0.225352670650	0.124379936432
356	430	 as	0.168616078000	0.112296220117
357	264	 a	0.160310213032	0.192185627724
358	12355	 reaction	0.127049988698	0.188425999177
359	11	,	0.140358725912	0.204999317679
360	694	 but	0.216091238044	0.133992237591
361	430	 as	0.205091793670	0.152792343420
362	264	 a	0.196626884605	0.214611005275
363	1528	 state	0.177333547670	0.213978028030
364	13	.	0.088535774218	0.127036706775
365	357	 A	0.213171137142	0.156357473293
366	11012	 quiet	0.163602172358	0.145540823950
367	11	,	0.158760766206	0.117048891585
368	14589	 unw	0.139333258284	0.095488542564
369	394	av	0.147515795843	0.136067495354
370	4519	ering	0.181643533242	0.148158810123
371	4751	 ground	0.166473138067	0.214972339117
372	5028	 upon	0.128473764574	0.160941764863
373	864	 which	0.161179420400	0.237076957363
374	279	 the	0.172726267405	0.204861646818
375	3050	 specific	0.169471951324	0.222779617788
376	10885	 tokens	0.084484089274	0.119668665031
377	628	 can	0.140697052266	0.170217927829
378	4833	 appear	0.159116874372	0.201724646572
379	321	 and	0.110225562769	0.145763415438
380	30035	 disappear	0.125680680639	0.158467090930
381	13	.	0.000000000000	0.000000000000
382	1049	 It	0.146924224692	0.143687490863
383	369	 is	0.201368198409	0.000000000000
384	279	 the	0.243964767657	0.185494271916
385	8008	 feeling	0.178621922935	0.142206411453
386	314	 of	0.216674673118	0.172795235520
387	2972	 **	0.230067234075	0.093489255943
388	41933	still	0.196048442133	0.166613413307
389	2022	ness	0.159835618237	0.149747899071
390	303	 in	0.177254209930	0.112840075647
391	11051	 motion	0.138494978584	0.207609975174
392	159034	**.	0.000000000000	0.000000000000
